,0
2024-08-02,109766.13104581444
2024-08-03,109083.08471823504
2024-08-04,108680.93804867292
2024-08-05,107478.56449146415
2024-08-06,107340.68856493842
2024-08-07,107053.40159853229
2024-08-08,107997.38537639534
2024-08-09,108057.52349545807
2024-08-10,108234.50864057684
2024-08-11,108347.11100413438
2024-08-12,109094.38761722913
2024-08-13,108838.50359284435
2024-08-14,108623.09507154641
2024-08-15,108776.91278394435
2024-08-16,109666.99582847721
2024-08-17,110268.00439606067
2024-08-18,109933.92893615962
2024-08-19,109978.05506500854
2024-08-20,110006.41221867218
2024-08-21,109933.87493281995
2024-08-22,109554.19905289683
2024-08-23,110067.25238115068
2024-08-24,110146.21958328153
2024-08-25,109163.88508983173
2024-08-26,104925.83070088262
2024-08-27,104959.7471076653
2024-08-28,104776.12048428459
2024-08-29,104955.03323272773
2024-08-30,104670.85245588455
2024-08-31,104684.74893877203
2024-09-01,104610.04193705285
2024-09-02,104707.77185125153
2024-09-03,104578.01005882051
2024-09-04,104759.5274402194
2024-09-05,104970.04817564914
2024-09-06,104789.51646907468
2024-09-07,104639.22404040418
2024-09-08,104725.91235371983
2024-09-09,104924.64584824393
2024-09-10,105131.29538410413
2024-09-11,105046.37413549965
2024-09-12,105874.94873571278
2024-09-13,106442.85064828928
2024-09-14,106421.8041925821
2024-09-15,106394.07761941192
2024-09-16,106716.94996345666
2024-09-17,106458.07498327184
2024-09-18,106412.10065804106
2024-09-19,106602.3767561441
2024-09-20,107376.69327690246
2024-09-21,107500.9751258795
2024-09-22,107307.20064821823
2024-09-23,107421.81471251833
2024-09-24,107955.57039775724
2024-09-25,107227.67475825586
2024-09-26,107428.2858129392
2024-09-27,107428.2858129392
2024-09-28,107428.2858129392
2024-09-29,107428.2858129392
2024-09-30,107428.2858129392
2024-10-01,108343.99239585873
2024-10-02,108124.97225250164
2024-10-03,108034.97419704712
2024-10-04,107996.08946507185
2024-10-05,108429.99551275438
2024-10-06,108300.92367468296
2024-10-07,107869.7339862198
2024-10-08,107351.01882569407
2024-10-09,107101.40232849258
2024-10-10,107577.74029518956
2024-10-11,108092.04261573804
2024-10-12,107931.15056966845
2024-10-13,107973.75661427388
2024-10-14,107922.7527411661
2024-10-15,107922.7527411661
2024-10-16,107922.7527411661
2024-10-17,107922.7527411661
2024-10-18,107922.7527411661
2024-10-19,107922.7527411661
2024-10-20,107922.7527411661
2024-10-21,107922.7527411661
2024-10-22,107922.7527411661
2024-10-23,107922.7527411661
2024-10-24,107922.7527411661
2024-10-25,107922.7527411661
2024-10-26,107922.7527411661
2024-10-27,107922.7527411661
2024-10-28,107922.7527411661
2024-10-29,107922.7527411661
2024-10-30,106852.73267862806
2024-10-31,104843.75201411935
2024-11-01,104056.72852326813
2024-11-02,103974.11034254036
2024-11-03,103223.43592377537
2024-11-04,102831.14829698371
2024-11-05,103276.01850653197
2024-11-06,104271.39463592837
2024-11-07,106330.24774877819
2024-11-08,109238.15086786164
2024-11-09,112780.42436584359
2024-11-10,125979.08235619936
2024-11-11,158274.6115799891
2024-11-12,294494.25915086054
2024-11-13,253913.0186247715
2024-11-14,251046.43426440662
2024-11-15,258567.30519255725
2024-11-16,279237.278805759
2024-11-17,272849.3251131988
2024-11-18,288266.52245520876
2024-11-19,285448.86129857047
2024-11-20,286893.9886364037
2024-11-21,324225.1920077922
2024-11-22,402731.77714445797
2024-11-23,440013.90879433946
2024-11-24,520143.9492307389
2024-11-25,486497.509556624
2024-11-26,485025.4321666571
2024-11-27,484957.55222120706
2024-11-28,479019.59867552517
2024-11-29,481628.08084309543
2024-11-30,488672.2568582907
2024-12-01,516843.0338241794
2024-12-02,586560.3419617782
2024-12-03,636055.2722466707
2024-12-04,639841.7472764703
2024-12-05,629041.970627364
2024-12-06,672180.0852716244
2024-12-07,680638.0246290504
2024-12-08,690659.8963767397
2024-12-09,491170.3625354075
2024-12-10,491170.36253540753
2024-12-11,491170.36253540753
2024-12-12,499560.6737069554
2024-12-13,508265.9098964662
2024-12-14,501645.60713472654
2024-12-15,504221.5830566428
2024-12-16,503390.7895217144
2024-12-17,491850.6928193995
2024-12-18,459479.7871892021
2024-12-19,459479.78718920215
2024-12-20,459479.78718920215
2024-12-21,459479.78718920215
2024-12-22,459479.78718920215
2024-12-23,459479.78718920215
2024-12-24,459479.78718920215
2024-12-25,459479.78718920215
2024-12-26,459479.78718920215
2024-12-27,459479.78718920215
2024-12-28,459479.78718920215
2024-12-29,459479.78718920215
2024-12-30,459479.78718920215
2024-12-31,459479.78718920215
2025-01-01,459479.78718920215
2025-01-02,459479.78718920215
2025-01-03,459479.78718920215
2025-01-04,459479.78718920215
2025-01-05,459479.78718920215
2025-01-06,459479.78718920215
2025-01-07,459479.78718920215
2025-01-08,459479.78718920215
2025-01-09,459479.78718920215
2025-01-10,459479.78718920215
2025-01-11,459479.78718920215
2025-01-12,459479.78718920215
2025-01-13,459479.78718920215
2025-01-14,459479.78718920215
2025-01-15,459479.78718920215
2025-01-16,459479.78718920215
2025-01-17,460304.3502337238
2025-01-18,458576.03431083984
2025-01-19,451019.5881297867
2025-01-20,453059.81174207333
2025-01-21,455290.3581558683
2025-01-22,452462.1974277087
2025-01-23,450134.4377398523
2025-01-24,449483.90807487915
2025-01-25,448771.4926545108
2025-01-26,446566.4527886664
2025-01-27,445808.9631016434
2025-01-28,445932.19380186737
2025-01-29,446043.6057293278
2025-01-30,447018.49526952556
2025-01-31,445533.0732532243
2025-02-01,443188.81671348563
2025-02-02,443188.81671348563
2025-02-03,443188.81671348563
2025-02-04,443188.81671348563
2025-02-05,443188.81671348563
2025-02-06,443188.81671348563
2025-02-07,443188.81671348563
2025-02-08,443188.81671348563
2025-02-09,443188.81671348563
2025-02-10,443188.81671348563
2025-02-11,443188.81671348563
2025-02-12,443188.81671348563
2025-02-13,443188.81671348563
2025-02-14,443188.81671348563
2025-02-15,443188.81671348563
2025-02-16,443188.81671348563
2025-02-17,443188.81671348563
2025-02-18,443188.81671348563
2025-02-19,443188.81671348563
2025-02-20,443188.81671348563
2025-02-21,443188.81671348563
2025-02-22,443188.81671348563
2025-02-23,443188.81671348563
2025-02-24,443188.81671348563
2025-02-25,443188.81671348563
2025-02-26,443188.81671348563
2025-02-27,443188.81671348563
2025-02-28,443188.81671348563
2025-03-01,443188.81671348563
2025-03-02,443188.81671348563
2025-03-03,443188.81671348563
2025-03-04,443188.81671348563
2025-03-05,443188.81671348563
2025-03-06,443188.81671348563
