date,cash,positions,total
2021-07-14,40668.665372563286,293566.3005248064,334234.96589736966
2021-07-15,40668.665372563286,289690.39766174665,330359.06303430995
2021-07-16,40668.665372563286,286469.536825064,327138.2021976273
2021-07-19,40668.665372563286,286200.1176203988,326868.7829929621
2021-07-20,40668.665372563286,288975.57769527053,329644.2430678338
2021-07-21,40668.665372563286,292155.7036450081,332824.3690175714
2021-07-22,40668.665372563286,294735.1677322723,335403.8331048356
2021-07-23,40668.665372563286,295681.7999094097,336350.465281973
2021-07-26,40668.665372563286,294524.40403850743,335193.0694110707
2021-07-27,40668.665372563286,290443.52972455294,331112.19509711623
2021-07-28,40668.665372563286,290753.0394293305,331421.7048018938
2021-07-29,40668.665372563286,290092.1389094119,330760.8042819752
2021-07-30,40668.665372563286,289288.8726388976,329957.5380114609
2021-08-02,40668.665372563286,290439.7006326742,331108.3660052375
2021-08-03,40668.665372563286,292993.35262901033,333662.0180015736
2021-08-04,40668.665372563286,295399.7939062101,336068.4592787734
2021-08-05,40668.665372563286,294266.5121316671,334935.1775042304
2021-08-06,40668.665372563286,294120.09626297216,334788.76163553545
2021-08-09,40668.665372563286,293134.25417258096,333802.91954514425
2021-08-10,40668.665372563286,291505.41760845756,332174.08298102085
2021-08-11,40668.665372563286,289865.6296532872,330534.2950258505
2021-08-12,40668.665372563286,291601.40743870987,332270.07281127316
2021-08-13,40668.665372563286,293179.59946557414,333848.26483813743
2021-08-16,40668.665372563286,295214.96002586925,335883.62539843254
2021-08-17,40668.665372563286,292756.76733964414,333425.43271220743
2021-08-18,40668.665372563286,287988.88169200835,328657.54706457164
2021-08-19,40668.665372563286,291396.63758901716,332065.30296158046
2021-08-20,40668.665372563286,295646.85410490667,336315.51947746996
2021-08-23,40668.665372563286,300170.9069889355,340839.5723614988
2021-08-24,40668.665372563286,299792.54612587584,340461.21149843914
2021-08-25,40668.665372563286,301054.2908980267,341722.95627059
2021-08-26,40668.665372563286,299332.96145194146,340001.62682450475
2021-08-27,40668.665372563286,304153.42461465823,344822.0899872215
