simulation,return_pct
154,6.703948573485552e+37
155,5.8933485886170296e+35
156,6.4748995678422776e+35
157,2.215900204215951e+41
158,8.768274991310297e+41
159,1.6688957393748203e+38
160,1.0660803552753363e+38
161,4.73332925077975e+34
162,1.476302399096484e+32
163,3.24979288030251e+39
164,3.0545066886493832e+35
165,1.9244237487757866e+36
166,2.111387176159676e+39
167,6.332268990627191e+46
168,6.355564364526729e+34
169,1.0364772957217546e+44
170,7.959225497773856e+39
171,1.0145171469305116e+33
172,4.3263638447016397e+36
173,2.416112891544473e+38
174,1.247868546783755e+33
175,4.235851497006859e+34
176,2.280964996967257e+31
177,1.7336169149981184e+35
178,2.7439527504944233e+37
179,1.0260931239320677e+30
180,5.511707307290448e+32
181,7.95324113766693e+29
182,3.3731985792646637e+40
183,2.202871014719373e+35
184,5.461879127800761e+39
185,8.790018748381075e+31
186,7.236147016232921e+37
187,1.1057106561372214e+36
188,1.308738114517614e+33
189,2.1710466097765413e+38
190,1.0663746988034333e+38
191,1.5400658986714087e+32
192,5.889556432984403e+33
193,9.132130666335431e+36
194,1.6019243217610383e+35
195,1.4370220891381891e+46
196,1.5871487812051238e+32
197,1.7635792379015504e+35
198,3.0113460415615027e+37
199,5.896132673859715e+39
200,9.535204990442731e+33
201,6.531281563928559e+39
202,5.994997482650308e+36
203,5.4371349224379197e+39
204,7.324096439604125e+43
205,3.3179155196469364e+37
206,9.454380540527444e+39
207,4.3040302659932806e+38
208,4.656899808582312e+38
209,1.52733588226862e+33
210,4.983943137812246e+29
211,8.884560276175833e+40
212,2.164046765697555e+36
213,2.7707005433994405e+34
214,3.1754890434228356e+30
215,3.9074154695710037e+37
216,1.7088189234381778e+40
217,3.726080791002883e+30
218,4.0031521338653603e+37
219,7.69586673620652e+38
220,6.128264158956763e+37
221,3.2211182700747566e+30
222,4.139733494830746e+34
223,6.307891157504041e+34
224,9.669858863919096e+34
225,2.6442837063356703e+37
226,2.686647467721369e+37
227,3.6277485100621054e+37
228,1.4131783700946734e+37
229,2.321502193029772e+40
230,5.737585737347099e+34
231,5.471589923829232e+38
232,8.081253840988243e+35
233,3.5033821363513325e+44
234,1.3011424590050764e+34
235,2.703749318920025e+30
236,2.4457504516534667e+31
237,9.502033145073974e+32
238,2.132548633085429e+45
239,2.2097039165170113e+29
240,7.181960187902834e+35
241,1.3473003480807389e+39
242,4.504846593681646e+36
243,6.365971469095131e+31
244,1.5798051870639247e+41
245,1.3523272160260354e+31
246,6.876273590150261e+42
247,3.379223753684958e+37
248,6.213867717275827e+37
249,2.2470764602847994e+37
250,8.286898825620123e+36
251,1.6745289105735198e+37
252,3.531970500717839e+42
253,6.902652609447109e+36
254,6.208262053333382e+30
255,4.667595454309072e+37
256,4.0423489122652716e+35
257,2.8199636413067872e+44
258,6.082826320964025e+32
259,2.788923440222154e+43
260,5.4016448914541085e+35
261,8.69781323221446e+30
262,3.953149125416378e+33
263,1.5404881646025573e+42
264,3.1784327903633605e+36
265,2.880404748521552e+41
266,2.3569981818007858e+39
267,7.816071464405686e+34
268,6.107494618160872e+39
269,4.653165998089989e+31
270,5.225920638836764e+42
271,2.1237083768869766e+34
272,2.683272119009664e+35
273,4.8638748266523026e+39
274,1.0205257109370342e+36
275,3.2750294072545714e+39
276,1.9159836497722795e+33
277,1.5280001510830106e+41
278,2.7249018104669285e+33
279,6.840403535248621e+34
280,2.3186914618059663e+37
281,6.017349468549402e+33
282,3.193155628828216e+37
283,1.3195294090063465e+39
284,1.1662829164186644e+40
285,1.3183726883904263e+41
286,2.6321233284233095e+34
287,2.589629161971952e+38
288,5.2013593924752493e+36
289,4.256904544671586e+36
290,6.784221891884702e+32
291,1.0833615285860276e+39
292,2.738188703633425e+37
293,2.51614234366989e+41
294,3.6140044794411636e+40
295,2.595685802792125e+32
296,5.521148400283103e+40
297,1.1716576460706585e+35
298,3.1537286436341146e+40
299,2.629688381790617e+36
300,1.0017716689717954e+32
301,3.7221043270085035e+31
302,6.068001499604566e+35
303,1.7680911097921028e+35
304,2.3658011179038198e+35
305,1.0231455306698194e+42
306,7.702845263279657e+32
307,1.930635678358647e+36
308,1.482685010068267e+33
309,8.464231969639383e+31
310,5.423425589478468e+32
311,3.0955787139310745e+42
312,2.6037606918650133e+34
313,7.114892820873679e+40
314,1.5045777651685274e+30
315,2.834655975334009e+33
316,5.266350011372948e+37
317,6.3515239932417024e+32
318,1.2962446369455101e+39
319,4.9975389739313554e+39
320,1.8271638445478962e+35
321,1.0483326039316159e+37
322,9.684804882820252e+37
323,5.291129078624365e+40
324,5.0748938018939374e+32
325,6.611528599435016e+40
326,7.08873200632473e+41
327,1.789248760182466e+34
328,8.24277267059581e+37
329,3.109875414483059e+33
330,3.613486792101205e+31
331,8.956787802495689e+37
332,1.623076798252235e+40
333,5.196818349136001e+36
334,2.498761770393111e+34
335,2.3541612427711627e+37
336,2.0336308377790438e+34
337,2.5546815875245395e+32
338,1.7624656329393612e+40
339,4.69344756460601e+39
340,1.9771785213178063e+35
341,1.591050745553182e+37
342,1.3987948883952484e+32
343,5.196084001963325e+38
344,3.238797688630047e+39
345,5.320402505146189e+36
346,5.287678022239247e+36
347,3.412941293871507e+33
348,3.476443133217851e+35
349,3.4149527888373185e+35
350,4.949803792310533e+37
351,9.841672840539048e+31
352,2.9379854889953353e+40
353,4.251471207270641e+38
354,7.502155998830547e+42
355,1.9843336923701753e+40
356,3.6292328974902045e+31
357,1.0636153633417557e+44
358,1.3011276228597894e+32
359,1.9218681323779873e+37
360,4.292577582032797e+36
361,7.024392014372952e+32
362,1.2627592970283343e+41
363,2.9555058135382363e+34
364,6.392436160692913e+35
365,1.1926643557710676e+33
366,1.3322424166352723e+34
367,2.3489170642960777e+38
368,1.1624920975751526e+35
369,2.6349342045945643e+29
370,2.162418131367771e+38
371,8.358589411245751e+33
372,8.169711996724823e+33
373,9.585472660339932e+32
374,1.5944352948760032e+34
375,1.3319163455684206e+38
376,7.094553159924245e+35
377,3.249419621703367e+41
378,1.904880311344735e+30
379,3.7592799548507046e+34
380,1.5057039025462509e+32
381,6.338151315946666e+32
382,4.989390645440837e+43
383,1.3176880868295393e+31
384,3.6893594374059142e+31
385,4.0220709457680354e+41
386,2.2256498871181736e+34
387,6.797387098962814e+34
388,4.051694269025861e+29
389,5.873413371656691e+27
390,7.406572754967025e+33
391,1.1874245075807884e+31
392,1.111417593998973e+38
393,1.5934420082380295e+35
394,3.5704464179107086e+34
395,2.7995800391796294e+32
396,3.0891838237400153e+30
397,3.631459982540968e+35
398,6.9412471825621575e+37
399,1.0662759664778282e+37
400,4.54221573221122e+33
401,6.722064413913019e+28
402,2.7986429392470424e+34
403,4.857143975544256e+34
404,4.292726869877276e+33
405,1.462707898222367e+36
406,4.8283007735188645e+35
407,9.562346874301571e+39
408,8.20367664103061e+32
409,5.817532214100448e+38
410,1.1858987151590007e+35
411,4.557914249693066e+42
412,1.1086327067917244e+35
413,1.4952083089462458e+45
414,2.495144870575709e+40
415,1.5841217585789246e+36
416,4.921001422587781e+37
417,5.2667844443189816e+45
418,7.902683512316949e+32
419,2.606410024282833e+34
420,2.814485333743021e+35
421,5.2428928014752773e+36
422,1.914490940078239e+37
423,5.901329193968104e+30
424,1.4677924993634577e+32
425,1.390825275201377e+39
426,1.800306023137139e+41
427,4.5480349226351416e+41
